BusinessName,Date,CustomerID,Product,Quantity,TotalAmount
Green Grocers,2024-12-24,1725,Product B,9,35.37
Green Grocers,2024-12-24,5142,Product B,10,233.98
Green Grocers,2024-12-24,1928,Product C,1,160.78
Green Grocers,2024-12-24,8061,Product D,7,120.78
Green Grocers,2024-12-24,8038,Product C,10,162.52
Green Grocers,2024-12-24,4489,Product A,2,126.42
Green Grocers,2024-12-24,5192,Product A,2,191.08
Green Grocers,2024-12-24,3465,Product D,1,21.29
Green Grocers,2024-12-24,9600,Product D,4,77.26
Green Grocers,2024-12-24,2129,Product C,4,161.36
Green Grocers,2024-12-24,5760,Product C,4,109.42
Green Grocers,2024-12-24,8986,Product B,7,29.77
Green Grocers,2024-12-24,5804,Product C,7,78.81
Green Grocers,2024-12-24,2518,Product A,9,243.55
Green Grocers,2024-12-24,7294,Product A,3,298.19
Green Grocers,2024-12-24,3544,Product A,3,12.41
Green Grocers,2024-12-24,9635,Product A,7,249.91
Green Grocers,2024-12-24,2008,Product A,4,33.2
Green Grocers,2024-12-24,7177,Product A,5,182.01
Green Grocers,2024-12-24,4568,Product A,7,89.88
Green Grocers,2024-12-24,3176,Product A,8,86.01
Green Grocers,2024-12-24,7593,Product A,9,190.44
Green Grocers,2024-12-24,9123,Product A,6,92.75
Green Grocers,2024-12-24,7350,Product B,4,36.8
Green Grocers,2024-12-24,2725,Product A,3,135.69
Green Grocers,2024-12-24,1300,Product B,5,227.59
Green Grocers,2024-12-24,7786,Product A,2,80.41
Green Grocers,2024-12-24,5295,Product C,7,192.34
Green Grocers,2024-12-24,3254,Product A,3,246.86
Green Grocers,2024-12-24,4726,Product B,4,20.47
Green Grocers,2024-12-24,9935,Product C,8,234.52
Green Grocers,2024-12-24,2963,Product D,3,262.42
Green Grocers,2024-12-24,1613,Product D,10,55.25
Green Grocers,2024-12-24,3369,Product A,10,176.39
Green Grocers,2024-12-24,8619,Product A,2,38.96
Green Grocers,2024-12-24,3359,Product D,3,114.8
Green Grocers,2024-12-24,9009,Product B,9,76.12
Green Grocers,2024-12-24,8865,Product D,1,110.69
Green Grocers,2024-12-24,9937,Product C,7,212.43
Green Grocers,2024-12-24,7881,Product C,9,175.46
Green Grocers,2024-12-24,8289,Product A,9,131.58
Green Grocers,2024-12-24,3392,Product C,1,69.13
Green Grocers,2024-12-24,4117,Product C,2,195.32
Green Grocers,2024-12-24,6322,Product C,5,75.8
Green Grocers,2024-12-24,2752,Product D,6,175.49
Green Grocers,2024-12-24,1869,Product C,6,175.25
Green Grocers,2024-12-24,6414,Product B,10,247.36
Green Grocers,2024-12-24,1714,Product C,6,243.87
Green Grocers,2024-12-24,4119,Product C,9,14.0
Green Grocers,2024-12-24,5881,Product C,3,237.89
